Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
liang liu,5,6.31477046142247,6.11746949122723,5.36172376188309,2.16
xin huang,11,6.30477655858618,5.95762426379018,5.24383323284364,2.7
bin xu,12,6.29983439922363,5.85708612326581,4.97988259996166,1
yue zhang,13,6.29973385319632,5.87952303238758,5.16228455965879,4.86
bo huang,24,6.29239529647208,5.89241746762985,5.04646933655692,4.38
song wang,36,6.26598438788745,6.24,6.24,6.24
yun liu,8,6.26456347262526,5.86981053462185,4.88572303512674,1.62
xin xu,20,6.25902559964732,5.88033781287375,5.19048307726163,4.86
ying zhou,13,6.25659730052877,5.84332090806418,5.14587277238956,4.86
wei chang,12,6.25398456038636,5.7599903071472,4.94106327001973,1.68
bo xu,46,6.24673418284483,5.81597692468407,4.99512713853297,4.86
wen chen,17,6.24654542556256,5.94897325535339,5.4,5.4
tao lin,34,6.24,6.24,6.24,6.24
gang yu,26,6.24,6.24,6.24,6.24
kang li,23,6.24,6.24,6.24,6.24
bo hu,42,6.24,6.24,6.24,6.24
qian wang,31,6.24,6.24,6.24,6.24
ying lin,5,6.22357800384373,5.83318949047747,5.10504679095033,1.38
yi lin,19,6.18234843735359,5.66577937486272,4.70462422837668,4.62
kai zhang,12,6.16021871833461,5.84180174303137,5.29058115260958,4.86
tong wang,11,6.15840530481131,5.7914178915271,4.98344303254127,4.32
jie zhao,2,6.15606092223255,5.66596332567972,4.80425746930004,1.08
yong zhao,27,6.14515030700708,5.94,5.94,5.94
zhen li,12,6.11754445042996,5.85158054145543,4.92564386715976,1
jian zhao,19,6.10150685556079,5.72393663896426,5.0400492469344,4.86
jing zhou,16,6.09515818312444,5.94,5.94,5.94
jie yu,10,6.08974638048007,5.60655285765095,4.68799255468584,2.7
